"tahun","pm10","so2","co","o3","no2","max"
2010,47.5154125123753,5.2022579132159,23.0513937832132,67.7233537405225,12.1204384876568,67.7233537405225
2011,62.0839105653957,10.5605909908699,23.5879904974038,88.8965059517783,13.5659961022044,88.8965059517783
2012,60.8121430451489,11.1827902143751,20.0174240675019,128.873814986874,12.2636568899631,128.873814986874
2013,55.1540010121404,7.7219466299153,27.4011553663728,105.20003284473,12.9181921149223,105.20003284473
2014,52.5973557375454,9.98856480353011,23.1232317316772,81.2088216900048,12.4699291686882,81.2088216900048
2015,54.6913874288506,14.3370577578928,23.3572284386056,62.8641250283647,12.5499971282524,62.8641250283647
2016,56.9000371376836,21.827716448019,27.8623174020679,71.8603339113587,9.18487571832857,71.8603339113587
2017,50.5648782412918,26.7168223194721,20.0918570308953,77.8711842850885,8.77154976072854,77.8711842850885
2018,50.0704594483446,24.5138422622704,18.606523729943,89.1076006842623,8.11051630201324,89.1076006842623
2019,57.8039535994653,18.1883854522604,18.1211047285059,107.216974396776,9.52689269894972,107.216974396776
2020,52.8061576431116,22.5097712208194,14.1268734746198,70.5699231948423,8.6178534786571,70.5699231948423
2021,54.1199666311561,34.3995075361418,14.4404075765083,35.2969524646304,18.5725722791918,54.1199666311561
2022,56.3364252706358,48.2343540961962,22.3273188799505,54.4060573928995,30.6011342458711,56.3364252706358
2023,49.8587712355749,42.0967764519363,16.2327018497986,28.5802097910684,17.8030247736492,49.8587712355749
2024,52.114189610721,43.1586894749555,14.8664877800474,24.0271043454058,30.7881462212648,52.114189610721
2025,40.9852380952381,27.8760256997276,12.4207645551187,18.1221701251964,20.8590306414662,40.9852380952381
